driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
203,28,3,8.0,13,13,0,driver_standings.csv
204,28,4,18.0,8,8,0,driver_standings.csv
205,28,5,38.0,6,6,1,driver_standings.csv
206,28,6,8.0,14,14,0,driver_standings.csv
207,28,7,2.0,18,18,0,driver_standings.csv
208,28,8,57.0,2,2,2,driver_standings.csv
209,28,9,49.0,4,4,1,driver_standings.csv
210,28,15,22.0,7,7,0,driver_standings.csv
211,28,17,18.0,9,9,0,driver_standings.csv
212,28,14,6.0,15,15,0,driver_standings.csv
213,28,18,3.0,17,17,0,driver_standings.csv
214,28,12,13.0,11,11,0,driver_standings.csv
215,28,21,0.0,19,19,0,driver_standings.csv
216,28,22,11.0,12,12,0,driver_standings.csv
217,28,19,0.0,22,22,0,driver_standings.csv
218,28,11,0.0,20,20,0,driver_standings.csv
219,28,13,54.0,3,3,3,driver_standings.csv
220,28,10,13.0,10,10,0,driver_standings.csv
221,28,16,0.0,21,21,0,driver_standings.csv
222,28,20,6.0,16,16,0,driver_standings.csv
223,29,1,70.0,1,1,4,driver_standings.csv
224,29,2,41.0,6,6,0,driver_standings.csv
225,29,3,9.0,13,13,0,driver_standings.csv
226,29,4,18.0,8,8,0,driver_standings.csv
227,29,5,43.0,5,5,1,driver_standings.csv
228,29,6,8.0,15,15,0,driver_standings.csv
229,29,7,2.0,18,18,0,driver_standings.csv
230,29,8,57.0,3,3,2,driver_standings.csv
231,29,9,55.0,4,4,1,driver_standings.csv
232,29,15,26.0,7,7,0,driver_standings.csv
233,29,17,18.0,9,9,0,driver_standings.csv
234,29,14,6.0,16,16,0,driver_standings.csv
235,29,18,3.0,17,17,0,driver_standings.csv
236,29,12,13.0,11,11,0,driver_standings.csv
237,29,21,0.0,19,19,0,driver_standings.csv
238,29,22,11.0,12,12,0,driver_standings.csv
239,29,19,0.0,22,22,0,driver_standings.csv
240,29,11,0.0,20,20,0,driver_standings.csv
241,29,13,64.0,2,2,4,driver_standings.csv
242,29,10,15.0,10,10,0,driver_standings.csv
243,29,16,0.0,21,21,0,driver_standings.csv
244,29,20,9.0,14,14,0,driver_standings.csv
245,30,1,76.0,1,1,4,driver_standings.csv
246,30,2,49.0,5,5,0,driver_standings.csv
247,30,3,9.0,14,14,0,driver_standings.csv
248,30,4,23.0,8,8,0,driver_standings.csv
249,30,5,43.0,6,6,1,driver_standings.csv
250,30,6,8.0,15,15,0,driver_standings.csv
251,30,7,4.0,17,17,0,driver_standings.csv
252,30,8,57.0,4,4,2,driver_standings.csv
253,30,9,58.0,3,3,1,driver_standings.csv
254,30,15,26.0,7,7,0,driver_standings.csv
255,30,17,19.0,9,9,0,driver_standings.csv
256,30,14,6.0,16,16,0,driver_standings.csv
257,30,18,3.0,18,18,0,driver_standings.csv
258,30,12,13.0,11,11,0,driver_standings.csv
259,30,21,0.0,19,19,0,driver_standings.csv
260,30,22,11.0,13,13,0,driver_standings.csv
261,30,19,0.0,22,22,0,driver_standings.csv
262,30,11,0.0,21,21,0,driver_standings.csv
263,30,13,74.0,2,2,5,driver_standings.csv
264,30,10,15.0,10,10,0,driver_standings.csv
265,30,16,0.0,20,20,0,driver_standings.csv
266,30,20,13.0,12,12,0,driver_standings.csv
267,31,1,78.0,1,1,4,driver_standings.csv
268,31,2,53.0,5,5,0,driver_standings.csv
269,31,3,9.0,14,14,0,driver_standings.csv
270,31,4,28.0,7,7,0,driver_standings.csv
271,31,5,51.0,6,6,1,driver_standings.csv
